----------------------------------------------------------
Нужно поменять зеленый фон фото на белый	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.367	Ремонт -> Электроника -> Планшеты и телефоны = 0.250	Ремонт -> Компьютеры и ноутбуки = 0.189	Ремонт -> Электроника = 0.113	Ремонт -> Электроника -> Аудиотехника и системы = 0.073	Фото- и видео-услуги -> Обработка фото = 0.007
	замена(1;1.0;поменя), фото(1;1.0;фот)
Нужно обрезать песню с 5 минут до 3.30 - 4 минут	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127




----------------------------------------------------------




----------------------------------------------------------

Помочь постелить линолеум	BAD weak-match	Бытовой ремонт
	Бытовой ремонт = 0.269	Фото- и видео-услуги = 0.268	Работа = 0.247	Ремонт -> Электроника = 0.123	Другое = 0.093
	помощь(1;1.0;помоч), части дома(1;1.0;линолеум)



----------------------------------------------------------




----------------------------------------------------------

Разработать заставки для видеоблога	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127
	разработать(1;1.0;разработа)



----------------------------------------------------------

Настроить фотооборудование	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.622	Ремонт -> Электроника = 0.219	Другое = 0.139	Ремонт -> Компьютеры и ноутбуки = 0.020
	настройка(1;1.0;настро)



----------------------------------------------------------

Ремонт навигатора JVC kV px707 в Измайлово	BAD weak-match	Ремонт -> Электроника
	Ремонт -> Электроника = 0.621	Бытовой ремонт = 0.092	Ремонт -> Компьютеры и ноутбуки = 0.088	Работа = 0.083	Ремонт -> Электроника -> Планшеты и телефоны = 0.072	Ремонт -> Электроника -> Аудиотехника и системы = 0.044
	ремонт(1;1.0;ремонт), производитель электроники(1;0.3;jvc), производитель аудио(1;0.3;jvc), производитель тв(1;0.3;jvc)



----------------------------------------------------------




----------------------------------------------------------


Наклеить наклейки на пакеты	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127
	сумка(1;1.0;пакет)
Фото- и видео-съемка девичника	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Перезапись с формата BetacamSP на цифровой носитель	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Фоторедактор (корректор) _ предпечатая подготовка	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Фотосьемка	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Записать 10 коротких фраз (женсиким голосом)	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Фото-съемка пансионата	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Записать фильмы на DVD.	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Заснять концерт в небольшом клубе	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.733	Ремонт -> Электроника = 0.162	Другое = 0.105
	событие(1;1.0;концерт)
Адаптерная кассета	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Фото- и видео-услуги	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

Видео-съемка свадебного банкета	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.725	Ремонт -> Электроника = 0.168	Другое = 0.107
	свадьба(1;1.0;свадебн)
Скачать и записать на dvd фильм	BAD weak-match	Фото- и видео-услуги
	Фото- и видео-услуги = 0.673	Ремонт -> Электроника = 0.200	Другое = 0.127

