


----------------------------------------------------------

﻿Замена мини-джека у наушников	BAD found-wrong	Ремонт цифровой техники
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	замена(1;1.0;зам), аудио(1;1.0;мини-джек), аудио(1;1.0;наушник)
Отремонтировать телефон Iphone 4s	BAD found-wrong	Ремонт цифровой техники
	Ремонт цифровой техники -> Планшеты и телефоны = 0.999	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 0.001
	гаджет(1;1.0;телефон), электроника(1;1.0;телефон), телефон(1;1.0;телефон), ремонт(1;1.0;отремонтирова), гаджет(1;1.0;iphon)
Ремонт наушников Monster Beats gratitude	BAD found-wrong	Ремонт цифровой техники
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	производитель аудио(1;0.3;monster), ремонт(1;1.0;ремонт), аудио(1;1.0;наушник), производитель аудио(1;0.3;beats)
Отремонтировать видеокамеру	BAD found-wrong	Ремонт цифровой техники
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	фото-видео техника(1;1.0;видеокамер), ремонт(1;1.0;отремонтирова)
Отремонтировать наушники Whinston	BAD found-wrong	Ремонт цифровой техники
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;отремонтирова), аудио(1;1.0;наушник)
Ремонт объектива Canon	BAD found-wrong	Ремонт цифровой техники
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	ремонт(1;1.0;ремонт), производитель фото(1;0.3;canon)
Починить фотоаппарат Panasonic Lumix DMC-LX3	BAD found-wrong	Ремонт цифровой техники
	Компьютерная помощь -> Ремонт компьютеров и ноутбуков = 1.000
	фото-видео техника(1;1.0;фотоаппарат), ремонт(1;1.0;почин), производитель электроники(1;0.3;panasonic), производитель аудио(1;0.3;panasonic), производитель тв(1;0.3;panasonic), производитель планшетов(1;0.3;panasonic)
Отремонтировать фотоаппарат Olympus	BAD found-wrong	Ремонт цифровой техники
