Замена мини-джека у наушников	|	Ремонт цифровой техники
Отремонтировать телефон Iphone 4s	|	Ремонт цифровой техники
Ремонт наушников Monster Beats gratitude	|	Ремонт цифровой техники
Отремонтировать видеокамеру	|	Ремонт цифровой техники
Отремонтировать наушники Whinston	|	Ремонт цифровой техники
Ремонт объектива Canon	|	Ремонт цифровой техники
Починить фотоаппарат Panasonic Lumix DMC-LX3	|	Ремонт цифровой техники
Отремонтировать фотоаппарат Olympus	|	Ремонт цифровой техники
Заменить стекло на Iphone 4s	|	Ремонт цифровой техники
Ремонт музыкальных центров Philips	|	Ремонт цифровой техники
Ремонт фотоаппарата Canon	|	Ремонт цифровой техники
Замена верхнего шлейфа iPhone 5 + покупка оригинальной зарядки	|	Ремонт цифровой техники
Ремонт радиотелефона SANYO CLT-75KM	|	Ремонт цифровой техники
Ремонт аудио усилителя NAD 310	|	Ремонт цифровой техники
Ремонт телевизора Phillips 37PFL	|	Ремонт цифровой техники
Отремонтировать пластиковое окно	|	Ремонт цифровой техники
Подключение домашнего кинотеатра к телевизору	|	Ремонт цифровой техники
Наклеить защитную пленку на экраны	|	Ремонт цифровой техники
Починить портативный сканирующий приёмник Icom IC-R1	|	Ремонт цифровой техники
Ремонт ноутбука Sony. Замена батареи	|	Ремонт цифровой техники
Замена экрана и динамика iphone 4 белый	|	Ремонт цифровой техники
Наручные часы Hablot. Ремонт	|	Ремонт цифровой техники
Ремонт экрана планшета Apple iPad 4	|	Ремонт цифровой техники
Починить сабвуфер klipsch	|	Ремонт цифровой техники
Ремонт синтезатора Casio	|	Ремонт цифровой техники
Починить принтер samsung scx3200	|	Ремонт цифровой техники
Ремонт микрофона AKG ht40 pro	|	Ремонт цифровой техники
Починить кнопку на iPhone 4	|	Ремонт цифровой техники
Переустановка windows, настройка компьютера	|	Ремонт цифровой техники
Требуется чистка ноутбука и попутно, естественно, замена термо-пасты,перепаять аудио разъем для наушников	|	Ремонт цифровой техники
Ремонт кнопочки OPEN магнитного доводчика-замка на дверь, прожекторы на улицу 2 шт	|	Ремонт цифровой техники
Отремонтировать iphone	|	Ремонт цифровой техники
Ремонт автомагнитолы Mistery 6280	|	Ремонт цифровой техники
Заменить плату контроллера в СКУД	|	Ремонт цифровой техники
Настройка почты mail в айфоне	|	Ремонт цифровой техники
Ремонт Apple iPhone 4S	|	Ремонт цифровой техники
Нужен помощник для проведения рекламной акции сети интернета	|	Ремонт цифровой техники
Необходимо починить кнопку iPhone 5	|	Ремонт цифровой техники
Сделать так, чтобы при включении света проигрывался звук	|	Ремонт цифровой техники
Отремонтировать наушники Skullcandy Aviator	|	Ремонт цифровой техники
Ремонт ЖК телевизора	|	Ремонт цифровой техники
Ремонт цифровой техники	|	Ремонт цифровой техники
Нужен ремонт разъема для наушников	|	Ремонт цифровой техники
Диагностика и определение стоимости ремонта домашнего кинотеатра	|	Ремонт цифровой техники
Ремонт автомобильных усилителей Magnat	|	Ремонт цифровой техники
Ремонт акустики	|	Ремонт цифровой техники
Необходимо установить музыку в автомобиль	|	Ремонт цифровой техники
Душка для наушников Monster Beats	|	Ремонт цифровой техники
Ремонт наушников Sennheiser E60	|	Ремонт цифровой техники
Телефон Nokia X2. Восстановление данных	|	Ремонт цифровой техники
Отремонтировать наушники Monster Bits	|	Ремонт цифровой техники
Ремонт жесткого диска WD и диагностика Time Capsule	|	Ремонт цифровой техники
Поменять стекло на iPhone 4s	|	Ремонт цифровой техники
Отремонтировать Samsung Galaxy S3	|	Ремонт цифровой техники
Ремонт электронной книги Texet 116	|	Ремонт цифровой техники
Починить фотик nikon d90	|	Ремонт цифровой техники
Замена экрана и стекла iPhone 4	|	Ремонт цифровой техники
Отремонтировать iPhone 5	|	Ремонт цифровой техники
Разбился экран айфона	|	Ремонт цифровой техники
Ремонт наушников AKG-142 HD	|	Ремонт цифровой техники
Замена дисплея на iPhone 5	|	Ремонт цифровой техники
Отремонтировать XboX 360	|	Ремонт цифровой техники
Ремонт радиомагнитолы Challenger	|	Ремонт цифровой техники
Диагностика/ремонт/ наушников beats executive	|	Ремонт цифровой техники
Часы Полет. Ремонт	|	Ремонт цифровой техники
Ремонт беспроводных наушников	|	Ремонт цифровой техники
Отремонтировать телефон Lenovo S820	|	Ремонт цифровой техники
Необходимо отремонтировать телефон	|	Ремонт цифровой техники
Диагностика и возможный ремонт наушников Monster beats tour	|	Ремонт цифровой техники
Помочь разгрузить и собрать 2 стола	|	Ремонт цифровой техники
Ремонт iPhone 4S	|	Ремонт цифровой техники
Ремонт iPhone в Марьино	|	Ремонт цифровой техники
Ремонт мобильного телефона Fly	|	Ремонт цифровой техники
Ремонт наушников AKG K81 DJ	|	Ремонт цифровой техники
Отремонтировать наушники SteelSeries Siberia Neckband	|	Ремонт цифровой техники
Поменять стекло и все кнопки на iPhone 4s	|	Ремонт цифровой техники
Ремонт планшета Acer Iconia Tab 100	|	Ремонт цифровой техники
Ремонт часов Skagen	|	Ремонт цифровой техники
Включить google nexus 4 после длительного простоя	|	Ремонт цифровой техники
Ремонт iPhone 3 на Ленинском проспекте	|	Ремонт цифровой техники
Настроить (отремонтировать) микрофон на планшете	|	Ремонт цифровой техники
Отремонтировать ноутбук. Провести розетку к рабочему месту	|	Ремонт цифровой техники
Необходимо отремонтировать принтер Xerox Phaser 7800	|	Ремонт цифровой техники
Ремонт телефона Samsung GALAXY	|	Ремонт цифровой техники
Замена стекла на Айфоне 5	|	Ремонт цифровой техники
Ремонт iPhone3	|	Ремонт цифровой техники
Ремонт наручных часов Tissot	|	Ремонт цифровой техники
Заменить (перепаять) разъём mini-USB	|	Ремонт цифровой техники
Заменить треснувший экран на китайском смартфоне Samsung Note 3	|	Ремонт цифровой техники
Ремонт японской автомагнитолы Alpain	|	Ремонт цифровой техники
Ремонт автомойки Karcher	|	Ремонт цифровой техники
Ремонт iPhone 4, белый	|	Ремонт цифровой техники
Восстановить ОС в HTC Hero (Андроид)	|	Ремонт цифровой техники
Требуется ремонт петель ноутбука Lenovo G580	|	Ремонт цифровой техники
Ремонт видеокамеры Sony	|	Ремонт цифровой техники
Замена дисплея на телефоне Zopo	|	Ремонт цифровой техники
Создавать электронные загадки	|	Ремонт цифровой техники
Заменить заднюю стенку iPhone 4	|	Ремонт цифровой техники
Отремонтировать планшет LIVTEC LT 701	|	Ремонт цифровой техники
HTC Desire X - проблемы с экраном	|	Ремонт цифровой техники
Ремонт часов	|	Ремонт цифровой техники
Ремонт 2-х портативных dvd плееров	|	Ремонт цифровой техники
Починить наушники	|	Ремонт цифровой техники
Ремонт ноутбука Lenovo	|	Ремонт цифровой техники
Отремонтировать телефон Nokia lumia 610	|	Ремонт цифровой техники
Замена стекла и сенсорного экрана iphone 5: метро Домодедовская	|	Ремонт цифровой техники
Ремонт iPhone 5 и iPhone 3	|	Ремонт цифровой техники
Поменять мини джек штекер в студийных наушниках	|	Ремонт цифровой техники
Отремонтировать ТВ	|	Ремонт цифровой техники
Замена стекл на iphone 4s (разбился экран айфона )	|	Ремонт цифровой техники
Отремонтировать стиральную машину	|	Ремонт цифровой техники
Ремонт планшета Acer 501	|	Ремонт цифровой техники
Отремонтировать роутер или купить и установить новый	|	Ремонт цифровой техники
Ремонт корпуса ноутбука lenovo g570	|	Ремонт цифровой техники
Отремонтировать пульт от телевизора Phillips	|	Ремонт цифровой техники
Замена сенсорного стекла на ipad mini	|	Ремонт цифровой техники
Замена клавиатуры в ноутбуке Aser г. Лобня	|	Ремонт цифровой техники
Ремонт телефона Apple iPhone 4S	|	Ремонт цифровой техники
